x,z,label,confidence
178.5605295108481,340.21351456775585,breakwater groin groyne mole bulwark seawall jetty,0.083
178.5605295108481,340.21351456775585,park bench,0.096
178.5605295108481,340.21351456775585,lakeside lakeshore,0.103
178.5605295108481,340.21351456775585,stone wall,0.149
186.3039062863736,348.2441026336195,park bench,0.081
187.83826099729208,350.2612118067948,park bench,0.097
187.83826099729208,350.2612118067948,unicycle monocycle,0.091
201.42923406139792,361.3408407254447,park bench,0.036
201.42923406139792,361.3408407254447,stone wall,0.068
196.3113086809183,356.826835373626,park bench,0.047
196.3113086809183,356.826835373626,lakeside lakeshore,0.107
197.93857709360412,359.86251788720284,lakeside lakeshore,0.211
197.93857709360412,359.86251788720284,chainlink fence,0.23
197.93857709360412,359.86251788720284,park bench,0.123
198.30511738575782,360.71299879683596,park bench,0.047
198.30511738575782,360.71299879683596,patio terrace,0.043
199.39877132734304,361.96089028905317,park bench,0.166
214.08595559049195,355.8683745576898,park bench,0.162
214.08595559049195,355.8683745576898,lakeside lakeshore,0.164
216.38834007622418,354.100621043958,park bench,0.126
216.38834007622418,354.100621043958,lakeside lakeshore,0.116
216.7199311778715,353.33919572720913,park bench,0.259
216.7199311778715,353.33919572720913,lakeside lakeshore,0.323
221.55911545304912,355.35073892538423,lakeside lakeshore,0.113
221.55911545304912,355.35073892538423,mountain bike all-terrain bike off-roader,0.077
221.55911545304912,355.35073892538423,park bench,0.097
222.6067387531251,356.1333149463428,park bench,0.068
222.6067387531251,356.1333149463428,lakeside lakeshore,0.066
222.6067387531251,356.1333149463428,oxcart,0.059
224.22804023093505,359.99610127613386,oxcart,0.085
224.22804023093505,359.99610127613386,mobile home manufactured home,0.041
224.92276194731804,360.31558821504296,oxcart,0.127
226.27981344703554,358.58345693814846,park bench,0.048
226.27981344703554,358.58345693814846,oxcart,0.118
226.6327150307285,358.38753463475206,oxcart,0.22
233.12985481293143,362.1779632958684,oxcart,0.192
233.12985481293143,362.1779632958684,valley vale,0.078
236.9350544964938,364.8551970494896,volcano,0.133
236.9350544964938,364.8551970494896,oxcart,0.058
236.9350544964938,364.8551970494896,West Highland white terrier,0.043
236.9350544964938,364.8551970494896,valley vale,0.075
249.4963050651513,376.91666387670364,picket fence paling,0.05
249.4963050651513,376.91666387670364,yurt,0.022
249.4963050651513,376.91666387670364,patio terrace,0.033
249.4963050651513,376.91666387670364,lakeside lakeshore,0.029
253.46687409016292,381.7078547605938,unicycle monocycle,0.046
253.46687409016292,381.7078547605938,oxcart,0.088
253.95701517842346,381.97056875924676,oxcart,0.1
253.95701517842346,381.97056875924676,valley vale,0.078
254.64917963734862,382.7498051944142,oxcart,0.13
254.64917963734862,382.7498051944142,horse cart horse-cart,0.06
254.90831509931405,382.74646561020506,oxcart,0.071
254.90831509931405,382.74646561020506,mountain bike all-terrain bike off-roader,0.241
260.5376920513112,387.6979565606543,mountain bike all-terrain bike off-roader,0.095
260.5376920513112,387.6979565606543,park bench,0.067
260.5376920513112,387.6979565606543,horse cart horse-cart,0.056
260.5376920513112,387.6979565606543,valley vale,0.044
261.28185408541015,388.5807201221247,oxcart,0.043
261.28185408541015,388.5807201221247,pot flowerpot,0.052
261.28185408541015,388.5807201221247,West Highland white terrier,0.035
261.28185408541015,388.5807201221247,lakeside lakeshore,0.045
258.5813897944359,387.3383946049077,soft-coated wheaten terrier,0.044
258.5813897944359,387.3383946049077,lakeside lakeshore,0.073
258.5813897944359,387.3383946049077,valley vale,0.072
258.5813897944359,387.3383946049077,park bench,0.078
258.1287551541395,386.8285513376024,mountain bike all-terrain bike off-roader,0.083
258.1287551541395,386.8285513376024,West Highland white terrier,0.129
267.5062196971869,392.68952252794105,oxcart,0.063
267.5062196971869,392.68952252794105,park bench,0.102
267.5062196971869,392.68952252794105,mountain bike all-terrain bike off-roader,0.2
267.5062196971869,392.68952252794105,unicycle monocycle,0.068
268.68170589074793,393.270610269712,lakeside lakeshore,0.221
268.68170589074793,393.270610269712,valley vale,0.152
274.26419978127564,396.8584374574317,oxcart,0.079
274.26419978127564,396.8584374574317,lakeside lakeshore,0.13
274.6546078129328,397.7645781131119,park bench,0.136
274.6546078129328,397.7645781131119,picket fence paling,0.138
281.8370926992248,399.7059900326123,suspension bridge,0.054
281.8370926992248,399.7059900326123,lakeside lakeshore,0.069
281.8370926992248,399.7059900326123,chainlink fence,0.111
282.85488132492145,400.1234381228241,lakeside lakeshore,0.087
288.9880380736399,409.96519430346626,mountain bike all-terrain bike off-roader,0.085
288.9880380736399,409.96519430346626,lakeside lakeshore,0.047
288.9880380736399,409.96519430346626,suspension bridge,0.136
289.8123275210056,411.23757608331135,chainlink fence,0.081
289.8123275210056,411.23757608331135,mountain bike all-terrain bike off-roader,0.082
289.8123275210056,411.23757608331135,picket fence paling,0.045
289.8123275210056,411.23757608331135,horse cart horse-cart,0.051
288.3828203816062,404.15209049417444,oxcart,0.045
288.3828203816062,404.15209049417444,horse cart horse-cart,0.071
288.5319937559255,402.95095318879504,picket fence paling,0.085
294.66003598851694,413.61424721223324,oxcart,0.064
294.66003598851694,413.61424721223324,chainlink fence,0.046
294.66003598851694,413.61424721223324,picket fence paling,0.061
298.33993003726346,420.3101145829954,oxcart,0.056
